node_id,timestamp,ID,geometry,x,y
94265,2581.50051696,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94655,2593.52374613,94655,POINT (151.0667419434 -34.0163993835),151.066741943,-34.0163993835
94876,2600.31046052,94876,POINT (151.0677490234 -34.0165367126),151.067749023,-34.0165367126
94899,2601.30918204,94899,POINT (151.0678405762 -34.0164413452),151.067840576,-34.0164413452
94922,2602.13889964,94922,POINT (151.0679626465 -34.016456604),151.067962647,-34.016456604
95682,2625.32110002,95682,POINT (151.0710601807 -34.0151252747),151.071060181,-34.0151252747
95719,2626.31206363,95719,POINT (151.0711975098 -34.0151443481),151.07119751,-34.0151443481
95632,2641.37632213,95632,POINT (151.0708618164 -34.0170097351),151.070861816,-34.0170097351
95916,2656.0232334,95916,POINT (151.0719451904 -34.0171737671),151.07194519,-34.0171737671
95953,2658.28545301,95953,POINT (151.0721130371 -34.0171966553),151.072113037,-34.0171966553
96145,2666.56146473,96145,POINT (151.0730895996 -34.0173339844),151.0730896,-34.0173339844
96380,2680.445366,96380,POINT (151.0741119385 -34.0175094604),151.074111939,-34.0175094604
96420,2683.33913304,96420,POINT (151.0743255615 -34.0175437927),151.074325561,-34.0175437927
96684,2699.15358627,96684,POINT (151.0754852295 -34.0177345276),151.07548523,-34.0177345276
96684,2759.15358627,96684,POINT (151.0754852295 -34.0177345276),151.07548523,-34.0177345276
96420,2774.96803949,96420,POINT (151.0743255615 -34.0175437927),151.074325561,-34.0175437927
96380,2777.86180653,96380,POINT (151.0741119385 -34.0175094604),151.074111939,-34.0175094604
96145,2791.7457078,96145,POINT (151.0730895996 -34.0173339844),151.0730896,-34.0173339844
95953,2804.91874044,95953,POINT (151.0721130371 -34.0171966553),151.072113037,-34.0171966553
95916,2807.18096005,95916,POINT (151.0719451904 -34.0171737671),151.07194519,-34.0171737671
95632,2821.82787132,95632,POINT (151.0708618164 -34.0170097351),151.070861816,-34.0170097351
95719,2836.89212982,95719,POINT (151.0711975098 -34.0151443481),151.07119751,-34.0151443481
95682,2837.88309343,95682,POINT (151.0710601807 -34.0151252747),151.071060181,-34.0151252747
94922,2861.06529381,94922,POINT (151.0679626465 -34.016456604),151.067962647,-34.016456604
94899,2861.89501141,94899,POINT (151.0678405762 -34.0164413452),151.067840576,-34.0164413452
94876,2862.89373293,94876,POINT (151.0677490234 -34.0165367126),151.067749023,-34.0165367126
94655,2869.68044732,94655,POINT (151.0667419434 -34.0163993835),151.066741943,-34.0163993835
94265,2881.70367649,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,2881.89401229,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94280,2885.33024321,94280,POINT (151.0650177002 -34.0165901184),151.0650177,-34.0165901184
94268,2885.98120476,94268,POINT (151.0649719238 -34.0166549683),151.064971924,-34.0166549683
94239,2886.5887378,94239,POINT (151.0648651123 -34.0166625977),151.064865112,-34.0166625977
94191,2888.11849779,94191,POINT (151.0646362305 -34.0166816711),151.064636231,-34.0166816711
94157,2889.33964819,94157,POINT (151.064453125 -34.0166931152),151.064453125,-34.0166931152
