dwell,node_id,pickup,request,ID,geometry,x,y
60,10159,289.445722067,147.629092463,10159,POINT (150.6872406006 -33.7720451355),150.687240601,-33.7720451355
60,10827,413.276643923,280.982510083,10827,POINT (150.6937713623 -33.7694778442),150.693771362,-33.7694778442
60,10833,453.426200848,82.4235983894,10833,POINT (150.6938171387 -33.7690734863),150.693817139,-33.7690734863
60,11727,605.256312062,89.9778562514,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
60,11999,717.845890477,150.345575416,11999,POINT (150.7017974854 -33.7567672729),150.701797485,-33.7567672729
60,10261,989.886605065,450.002363198,10261,POINT (150.6883850098 -33.7538757324),150.68838501,-33.7538757324
60,11717,1322.51817639,775.101572028,11717,POINT (150.6996154785 -33.762588501),150.699615478,-33.762588501
60,12215,1418.13730817,1148.31959999,12215,POINT (150.7039642334 -33.7589950562),150.703964233,-33.7589950562
60,11621,1571.05494558,1360.3445474,11621,POINT (150.6990509033 -33.7521133423),150.699050903,-33.7521133423
60,10589,1792.47404595,1243.63637427,10589,POINT (150.6918334961 -33.7433624268),150.691833496,-33.7433624268
60,10509,1845.00201443,1298.41993088,10509,POINT (150.6911010742 -33.745639801),150.691101074,-33.745639801
60,11218,2072.37516017,1624.41233184,11218,POINT (150.6966247559 -33.7547111511),150.696624756,-33.7547111511
60,11590,2200.30479178,1760.75135535,11590,POINT (150.6988983154 -33.7520942688),150.698898315,-33.7520942688
60,10205,2345.5239493,1824.81745029,10205,POINT (150.6876983643 -33.7508392334),150.687698364,-33.7508392334
60,10165,2489.77746423,1978.91398468,10165,POINT (150.687286377 -33.7504081726),150.687286377,-33.7504081726
60,11790,2765.61980896,2281.21209211,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
60,11727,2804.70844665,2329.2692762,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
60,11546,2888.77918923,2378.08125978,11546,POINT (150.6987304688 -33.7634811401),150.698730469,-33.7634811401
60,10102,3261.43543811,2799.3905418,10102,POINT (150.6866912842 -33.7612037659),150.686691284,-33.7612037659
60,9852,3433.86687436,3085.61171102,9852,POINT (150.6842956543 -33.748752594),150.684295654,-33.748752594
60,10205,3514.03909606,3178.10969927,10205,POINT (150.6876983643 -33.7508392334),150.687698364,-33.7508392334
60,11829,3833.78681562,3260.11894954,11829,POINT (150.7002868652 -33.7553215027),150.700286865,-33.7553215027
60,11864,3935.05683693,3485.58796117,11864,POINT (150.7006225586 -33.7515830994),150.700622559,-33.7515830994
