node_id,timestamp,ID,geometry,x,y
11094,82.4235983894,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11046,89.9778562514,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
11011,96.0365035952,11011,POINT (150.6952362061 -33.7524261475),150.695236206,-33.7524261475
11005,97.8606524407,11005,POINT (150.6951751709 -33.7526016235),150.695175171,-33.7526016235
10973,102.603466793,10973,POINT (150.6950073242 -33.7530555725),150.695007324,-33.7530555725
11423,127.345649953,11423,POINT (150.6978759766 -33.7536888123),150.697875977,-33.7536888123
11265,139.332857929,11265,POINT (150.6969146729 -33.7545814514),150.696914673,-33.7545814514
11236,141.239765162,11236,POINT (150.6967315674 -33.7546958923),150.696731567,-33.7546958923
11237,141.448982509,11237,POINT (150.6967468262 -33.7547187805),150.696746826,-33.7547187805
11222,142.774686204,11222,POINT (150.6966552734 -33.7548179626),150.696655273,-33.7548179626
11110,147.629092463,11110,POINT (150.6959991455 -33.755443573),150.695999145,-33.755443573
11004,150.345575416,11004,POINT (150.6951751709 -33.7562026978),150.695175171,-33.7562026978
11003,151.323685929,11003,POINT (150.6951751709 -33.7563095093),150.695175171,-33.7563095093
10985,152.121857874,10985,POINT (150.6950683594 -33.7563171387),150.695068359,-33.7563171387
10909,157.653602709,10909,POINT (150.6945037842 -33.7568244934),150.694503784,-33.7568244934
10736,172.478589768,10736,POINT (150.6930084229 -33.7581977844),150.693008423,-33.7581977844
10395,203.465299414,10395,POINT (150.6897888184 -33.7609939575),150.689788818,-33.7609939575
10369,206.166003398,10369,POINT (150.6895599365 -33.7612724304),150.689559936,-33.7612724304
10368,206.287861642,10368,POINT (150.6895599365 -33.7612876892),150.689559936,-33.7612876892
10366,207.605002639,10366,POINT (150.6895294189 -33.7614364624),150.689529419,-33.7614364624
10354,208.559938191,10354,POINT (150.6893920898 -33.7614555359),150.68939209,-33.7614555359
10345,209.560451247,10345,POINT (150.6893310547 -33.7615699768),150.689331055,-33.7615699768
10305,225.15483422,10305,POINT (150.6888427734 -33.763469696),150.688842773,-33.763469696
10260,244.58886712,10260,POINT (150.6883850098 -33.7658729553),150.68838501,-33.7658729553
10234,263.555632581,10234,POINT (150.6879425049 -33.7682189941),150.687942505,-33.7682189941
10223,264.104201039,10223,POINT (150.6878662109 -33.7682418823),150.687866211,-33.7682418823
10221,264.368313419,10221,POINT (150.6878509521 -33.7682723999),150.687850952,-33.7682723999
10231,265.394311655,10231,POINT (150.6879119873 -33.7683677673),150.687911987,-33.7683677673
10175,280.982510083,10175,POINT (150.6874084473 -33.7710494995),150.687408447,-33.7710494995
10161,288.243826339,10161,POINT (150.6872558594 -33.7719497681),150.687255859,-33.7719497681
10168,288.810220357,10168,POINT (150.6873016357 -33.7719993591),150.687301636,-33.7719993591
10167,288.901614199,10167,POINT (150.6873016357 -33.7720108032),150.687301636,-33.7720108032
10159,289.445722067,10159,POINT (150.6872406006 -33.7720451355),150.687240601,-33.7720451355
10159,349.445722067,10159,POINT (150.6872406006 -33.7720451355),150.687240601,-33.7720451355
10167,349.989829935,10167,POINT (150.6873016357 -33.7720108032),150.687301636,-33.7720108032
10251,356.262901664,10251,POINT (150.6882324219 -33.7721214294),150.688232422,-33.7721214294
10259,361.686131566,10259,POINT (150.6883544922 -33.7714500427),150.688354492,-33.7714500427
10267,367.757148009,10267,POINT (150.6884918213 -33.7706985474),150.688491821,-33.7706985474
10473,382.684819207,10473,POINT (150.6907043457 -33.770980835),150.690704346,-33.770980835
10726,397.617073416,10726,POINT (150.6929168701 -33.7712669373),150.69291687,-33.7712669373
10743,403.704274934,10743,POINT (150.693069458 -33.7705154419),150.693069458,-33.7705154419
10761,406.165502287,10761,POINT (150.6932220459 -33.7702407837),150.693222046,-33.7702407837
10793,410.191598673,10793,POINT (150.6935424805 -33.7698135376),150.693542481,-33.7698135376
10827,413.276643923,10827,POINT (150.6937713623 -33.7694778442),150.693771362,-33.7694778442
10827,450.002363198,10827,POINT (150.6937713623 -33.7694778442),150.693771362,-33.7694778442
10835,453.030947934,10835,POINT (150.6938476563 -33.7691040039),150.693847656,-33.7691040039
10833,453.426200848,10833,POINT (150.6938171387 -33.7690734863),150.693817139,-33.7690734863
10833,513.426200848,10833,POINT (150.6938171387 -33.7690734863),150.693817139,-33.7690734863
10836,513.760524665,10836,POINT (150.6938476563 -33.7690505981),150.693847656,-33.7690505981
10897,538.994672465,10897,POINT (150.694442749 -33.7659301758),150.694442749,-33.7659301758
10928,550.595172118,10928,POINT (150.6947174072 -33.7644958496),150.694717407,-33.7644958496
10947,556.48556264,10947,POINT (150.6948547363 -33.7637672424),150.694854736,-33.7637672424
10917,561.830950274,10917,POINT (150.6946105957 -33.763130188),150.694610596,-33.763130188
10840,572.707162453,10840,POINT (150.6938781738 -33.7619628906),150.693878174,-33.7619628906
10877,574.857142834,10877,POINT (150.6942596436 -33.7620162964),150.694259644,-33.7620162964
11117,584.829035055,11117,POINT (150.6960296631 -33.762260437),150.696029663,-33.762260437
11312,591.534114882,11312,POINT (150.6972198486 -33.762424469),150.697219849,-33.762424469
11442,595.913677864,11442,POINT (150.6979980469 -33.7625274658),150.697998047,-33.7625274658
11484,597.53791861,11484,POINT (150.6982879639 -33.7625579834),150.698287964,-33.7625579834
11727,605.256312062,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
11727,665.256312062,11727,POINT (150.6996612549 -33.7627296448),150.699661255,-33.7627296448
11757,666.720350013,11757,POINT (150.6999206543 -33.7627677917),150.699920654,-33.7627677917
11769,668.355983348,11769,POINT (150.6999816895 -33.7625694275),150.699981689,-33.7625694275
11790,670.574216915,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11812,673.318720568,11812,POINT (150.7001800537 -33.76197052),150.700180054,-33.76197052
11839,678.8077296,11839,POINT (150.7003936768 -33.7613067627),150.700393677,-33.7613067627
11842,679.395436558,11842,POINT (150.7004089355 -33.7612342834),150.700408936,-33.7612342834
11866,685.087617947,11866,POINT (150.7006378174 -33.7605476379),150.700637817,-33.7605476379
11882,686.018976436,11882,POINT (150.7007446289 -33.7604942322),150.700744629,-33.7604942322
11873,686.845862758,11873,POINT (150.7006835938 -33.7604179382),150.700683594,-33.7604179382
11911,694.582292274,11911,POINT (150.7009887695 -33.7594833374),150.700988769,-33.7594833374
11944,702.524661987,11944,POINT (150.7012939453 -33.7585220337),150.701293945,-33.7585220337
11962,703.353367072,11962,POINT (150.7014007568 -33.7584838867),150.701400757,-33.7584838867
11953,704.2173175,11953,POINT (150.7013549805 -33.758392334),150.701354981,-33.758392334
12008,716.919230469,12008,POINT (150.7018432617 -33.756855011),150.701843262,-33.756855011
12003,717.14237555,12003,POINT (150.7018127441 -33.7568435669),150.701812744,-33.7568435669
11999,717.845890477,11999,POINT (150.7017974854 -33.7567672729),150.701797485,-33.7567672729
11999,775.101572028,11999,POINT (150.7017974854 -33.7567672729),150.701797485,-33.7567672729
12016,775.991727345,12016,POINT (150.7019042969 -33.7567367554),150.701904297,-33.7567367554
12050,784.048888517,12050,POINT (150.7022247314 -33.7557640076),150.702224731,-33.7557640076
12090,792.665508647,12090,POINT (150.702545166 -33.7547187805),150.702545166,-33.7547187805
12125,802.766998868,12125,POINT (150.7029418945 -33.7534980774),150.702941894,-33.7534980774
11832,820.959945916,11832,POINT (150.700302124 -33.7529258728),150.700302124,-33.7529258728
11849,825.398977963,11849,POINT (150.7004699707 -33.7523880005),150.700469971,-33.7523880005
11895,832.089512741,11895,POINT (150.7007904053 -33.7516517639),150.700790405,-33.7516517639
11889,832.208145911,11889,POINT (150.7007751465 -33.7516593933),150.700775147,-33.7516593933
11864,833.602237136,11864,POINT (150.7006225586 -33.7515830994),150.700622559,-33.7515830994
11309,853.363411327,11309,POINT (150.6972045898 -33.7508010864),150.69720459,-33.7508010864
11094,860.791756433,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,920.791756433,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,880.791756433,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11046,893.087340016,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
10974,896.987922993,10974,POINT (150.6950073242 -33.7517852783),150.695007324,-33.7517852783
10850,905.887343498,10850,POINT (150.6939849854 -33.752040863),150.693984985,-33.752040863
10709,916.147416293,10709,POINT (150.6928100586 -33.7523460388),150.692810059,-33.7523460388
10653,919.506095227,10653,POINT (150.6924133301 -33.7523803711),150.69241333,-33.7523803711
10614,922.651282804,10614,POINT (150.6920471191 -33.75233078),150.692047119,-33.75233078
10497,930.080229321,10497,POINT (150.6909790039 -33.7520675659),150.690979004,-33.7520675659
10452,951.328859742,10452,POINT (150.6905059814 -33.7533378601),150.690505981,-33.7533378601
10430,964.814224105,10430,POINT (150.6902008057 -33.7541427612),150.690200806,-33.7541427612
10261,989.886605942,10261,POINT (150.6883850098 -33.7538757324),150.68838501,-33.7538757324
10261,1049.88660507,10261,POINT (150.6883850098 -33.7538757324),150.68838501,-33.7538757324
10430,1074.9589869,10430,POINT (150.6902008057 -33.7541427612),150.690200806,-33.7541427612
10452,1088.44435127,10452,POINT (150.6905059814 -33.7533378601),150.690505981,-33.7533378601
10497,1109.69298169,10497,POINT (150.6909790039 -33.7520675659),150.690979004,-33.7520675659
10500,1110.86284605,10500,POINT (150.6910095215 -33.7519989014),150.691009522,-33.7519989014
10617,1118.31830056,10617,POINT (150.6920776367 -33.7522735596),150.692077637,-33.7522735596
10653,1121.3267729,10653,POINT (150.6924133301 -33.7523803711),150.69241333,-33.7523803711
10709,1124.68545184,10709,POINT (150.6928100586 -33.7523460388),150.692810059,-33.7523460388
10850,1134.94552463,10850,POINT (150.6939849854 -33.752040863),150.693984985,-33.752040863
10974,1143.84494514,10974,POINT (150.6950073242 -33.7517852783),150.695007324,-33.7517852783
11046,1147.74552811,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
11094,1148.31959999,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1208.31959999,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1218.31959999,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1228.31959999,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1188.31959999,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11100,1189.05423518,11100,POINT (150.6959228516 -33.7506027222),150.695922852,-33.7506027222
11309,1196.4409997,11309,POINT (150.6972045898 -33.7508010864),150.69720459,-33.7508010864
11864,1216.2021739,11864,POINT (150.7006225586 -33.7515830994),150.700622559,-33.7515830994
11889,1217.59626512,11889,POINT (150.7007751465 -33.7516593933),150.700775147,-33.7516593933
11895,1217.71489829,11895,POINT (150.7007904053 -33.7516517639),150.700790405,-33.7516517639
11849,1224.40543307,11849,POINT (150.7004699707 -33.7523880005),150.700469971,-33.7523880005
11832,1228.84446512,11832,POINT (150.700302124 -33.7529258728),150.700302124,-33.7529258728
12125,1243.63637427,12125,POINT (150.7029418945 -33.7534980774),150.702941894,-33.7534980774
12090,1253.7378645,12090,POINT (150.702545166 -33.7547187805),150.702545166,-33.7547187805
12050,1262.35448463,12050,POINT (150.7022247314 -33.7557640076),150.702224731,-33.7557640076
12016,1270.4116458,12016,POINT (150.7019042969 -33.7567367554),150.701904297,-33.7567367554
12021,1271.18919243,12021,POINT (150.7019348145 -33.7568130493),150.701934814,-33.7568130493
12008,1272.02583655,12008,POINT (150.7018432617 -33.756855011),150.701843262,-33.756855011
11953,1284.72774952,11953,POINT (150.7013549805 -33.758392334),150.701354981,-33.758392334
11962,1285.59169994,11962,POINT (150.7014007568 -33.7584838867),150.701400757,-33.7584838867
11944,1286.42040503,11944,POINT (150.7012939453 -33.7585220337),150.701293945,-33.7585220337
11911,1294.36277474,11911,POINT (150.7009887695 -33.7594833374),150.700988769,-33.7594833374
11873,1298.41993088,11873,POINT (150.7006835938 -33.7604179382),150.700683594,-33.7604179382
11882,1299.24681721,11882,POINT (150.7007446289 -33.7604942322),150.700744629,-33.7604942322
11866,1300.1781757,11866,POINT (150.7006378174 -33.7605476379),150.700637817,-33.7605476379
11842,1305.87035708,11842,POINT (150.7004089355 -33.7612342834),150.700408936,-33.7612342834
11839,1306.45806404,11839,POINT (150.7003936768 -33.7613067627),150.700393677,-33.7613067627
11812,1311.94707307,11812,POINT (150.7001800537 -33.76197052),150.700180054,-33.76197052
11790,1314.69157673,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11747,1318.92350867,11747,POINT (150.6998443604 -33.7624855042),150.69984436,-33.7624855042
11717,1322.51817639,11717,POINT (150.6996154785 -33.762588501),150.699615478,-33.762588501
11717,1360.3445474,11717,POINT (150.6996154785 -33.762588501),150.699615478,-33.762588501
11747,1363.93921512,11747,POINT (150.6998443604 -33.7624855042),150.69984436,-33.7624855042
11790,1368.17114706,11790,POINT (150.7000732422 -33.7623023987),150.700073242,-33.7623023987
11812,1370.91565071,11812,POINT (150.7001800537 -33.76197052),150.700180054,-33.76197052
11839,1376.40465975,11839,POINT (150.7003936768 -33.7613067627),150.700393677,-33.7613067627
11842,1376.99236671,11842,POINT (150.7004089355 -33.7612342834),150.700408936,-33.7612342834
11866,1382.68454809,11866,POINT (150.7006378174 -33.7605476379),150.700637817,-33.7605476379
11882,1383.61590658,11882,POINT (150.7007446289 -33.7604942322),150.700744629,-33.7604942322
12154,1400.62406069,12154,POINT (150.7032318115 -33.7609634399),150.703231811,-33.7609634399
12170,1401.87663409,12170,POINT (150.7033843994 -33.7608909607),150.703384399,-33.7608909607
12190,1408.91663845,12190,POINT (150.7036437988 -33.7600364685),150.703643799,-33.7600364685
12208,1416.47955663,12208,POINT (150.7039337158 -33.7591209412),150.703933716,-33.7591209412
12203,1417.23140759,12203,POINT (150.7038726807 -33.7590560913),150.703872681,-33.7590560913
12215,1418.13730817,12215,POINT (150.7039642334 -33.7589950562),150.703964233,-33.7589950562
12215,1478.13730817,12215,POINT (150.7039642334 -33.7589950562),150.703964233,-33.7589950562
12203,1479.04320875,12203,POINT (150.7038726807 -33.7590560913),150.703872681,-33.7590560913
11962,1496.15355167,11962,POINT (150.7014007568 -33.7584838867),150.701400757,-33.7584838867
11953,1497.0175021,11953,POINT (150.7013549805 -33.758392334),150.701354981,-33.758392334
12008,1509.71941507,12008,POINT (150.7018432617 -33.756855011),150.701843262,-33.756855011
12021,1510.55605918,12021,POINT (150.7019348145 -33.7568130493),150.701934814,-33.7568130493
12016,1511.33360582,12016,POINT (150.7019042969 -33.7567367554),150.701904297,-33.7567367554
12050,1519.39076699,12050,POINT (150.7022247314 -33.7557640076),150.702224731,-33.7557640076
12090,1528.00738712,12090,POINT (150.702545166 -33.7547187805),150.702545166,-33.7547187805
12125,1538.10887734,12125,POINT (150.7029418945 -33.7534980774),150.702941894,-33.7534980774
11832,1556.30182439,11832,POINT (150.700302124 -33.7529258728),150.700302124,-33.7529258728
11570,1566.40318798,11570,POINT (150.6988372803 -33.7526054382),150.69883728,-33.7526054382
11576,1567.24006204,11576,POINT (150.6988677979 -33.7525596619),150.698867798,-33.7525596619
11621,1571.05494558,11621,POINT (150.6990509033 -33.7521133423),150.699050903,-33.7521133423
11621,1624.41233184,11621,POINT (150.6990509033 -33.7521133423),150.699050903,-33.7521133423
11576,1628.22721539,11576,POINT (150.6988677979 -33.7525596619),150.698867798,-33.7525596619
11570,1629.06408944,11570,POINT (150.6988372803 -33.7526054382),150.69883728,-33.7526054382
11279,1641.81262094,11279,POINT (150.6969909668 -33.7521934509),150.696990967,-33.7521934509
11228,1644.44808959,11228,POINT (150.696685791 -33.7521247864),150.696685791,-33.7521247864
11046,1654.99118424,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
11094,1667.28676783,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1727.28676783,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1737.28676783,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,1697.28676783,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
10898,1705.60543578,10898,POINT (150.694442749 -33.7505493164),150.694442749,-33.7505493164
10335,1741.5265604,10335,POINT (150.6892242432 -33.7495040894),150.689224243,-33.7495040894
10268,1746.48021259,10268,POINT (150.6884918213 -33.7494544983),150.688491821,-33.7494544983
10263,1746.97109671,10263,POINT (150.6884307861 -33.749420166),150.688430786,-33.749420166
10262,1747.96416395,10262,POINT (150.6883850098 -33.7493019104),150.68838501,-33.7493019104
